Data;Count
01.01.2019;2
01.02.2019;6
01.03.2019;7
01.04.2019;5
01.05.2019;6
01.06.2019;6
01.07.2019;3
01.08.2019;1
01.09.2019;1
01.10.2019;6
01.11.2019;32
01.12.2019;3
01.01.2020;8
01.02.2020;8
01.03.2020;11
01.04.2020;0
01.05.2020;3
01.06.2020;12
01.07.2020;11
01.08.2020;3
01.09.2020;4
01.10.2020;15
01.11.2020;46
01.12.2020;5
01.01.2021;6
01.02.2021;4
01.03.2021;10
01.04.2021;6
01.05.2021;3
01.06.2021;8
01.07.2021;4
01.08.2021;6
01.09.2021;6
01.10.2021;8
01.11.2021;20
01.12.2021;13
01.01.2022;8
01.02.2022;19
01.03.2022;6
01.04.2022;5
01.05.2022;4
01.06.2022;5
01.07.2022;3
01.08.2022;10
01.09.2022;5
01.10.2022;6
01.11.2022;15
01.12.2022;6
